Penulis,Komentar,Tanggal,Jumlah_Like
@MrBeast,"Subscribe and you could win $1000! 

No Purchase Necessary. Additional rules and conditions apply. Please read the description or visit this link: https://bit.ly/MrB_Cash_Giveaway
Make sure you have an email address on your profile! We’ll reach out from MrBeast@promosupport.com if you are selected as a winner so make sure to check your email and spam folder!",2026-05-16T15:57:45Z,34757
@TashiChod,crying simulator,2026-06-07T11:08:03Z,0
@DevillPmmm,Uzbek language?,2026-06-07T11:03:42Z,0
@MamadouLamineDiallo-e3n,❤❤❤for you,2026-06-07T10:56:12Z,0
@darzahoor7777,hey i really need the money for my studies and i also wanna start my own business i want to get the money mr beast,2026-06-07T10:51:28Z,0
@gaganbhandari9167,🥰💐🪔,2026-06-07T10:45:53Z,0
@MDRoki-j5k3f,😢😢,2026-06-07T10:45:31Z,0
@platonma4453,Appl,2026-06-07T10:45:28Z,0
@ThunderGaming09876,Awesome,2026-06-07T10:44:21Z,0
@ThunderGaming09876,nice,2026-06-07T10:44:12Z,0
@AryanUikey-y7z,am veting mr Beast,2026-06-07T10:39:30Z,0
@الحوصمغيره,😢😢😢😢,2026-06-07T10:37:25Z,0
@QasirBhatti-l6d,Hi Jimmy Kya tum muja Pakistan main aik  iphone 13 pro max send kar do ga please,2026-06-07T10:31:53Z,0
@vaibhav.singhal,Mr beast is just a reality show now,2026-06-07T10:28:03Z,0
@MDMahbub0,Bangladesh,2026-06-07T10:23:53Z,0
@MahboobAlam-rq3sk,❤❤❤❤❤❤,2026-06-07T10:20:22Z,0
@hasnainandmirha1174,Coctrifaif cnid,2026-06-07T10:19:39Z,1
@dls_1797,Follow me pls 😢,2026-06-07T10:18:48Z,0
@Rhythm_kook97,"Please help me. If you don't help me, I won't have any other way left except death",2026-06-07T10:18:43Z,0
@surojit.bhadra,Unsubscribe,2026-06-07T10:14:03Z,1
@JuanchitoMartinez98,Yo si quiero ganar 🥹🥹🥹,2026-06-07T10:13:17Z,0
@Nihal_nhyn,Wtf,2026-06-07T10:03:44Z,0
@M3RYYT,Hi MrBeast 👋 I’m a Roblox content creator. I’d be really happy if you took a few seconds to check my channel and tell me what you think. Even one piece of advice from you would mean a lot to me. Thank you so much ❤️,2026-06-07T09:58:07Z,0
@DEBBIEJasie,Can u make a video of u saving the world,2026-06-07T09:56:11Z,0
@RobyNurhikmah-l4z,Bro is ireng,2026-06-07T09:40:04Z,0
@Muhit-p4i,I know from the start that this girl was worse than a snake when I heard 6 ex. Poor boys 😢😢😢,2026-06-07T09:39:33Z,0
@MdRoni-u6g2e,The richest thing about MrBeast is not his money — it’s the way he turned kindness into entertainment and inspired an entire generation to dream bigger. 👑,2026-06-07T09:37:44Z,0
@msgaming1203,Bro u could have made her work hard for 5 days and then make a decision,2026-06-07T09:32:07Z,0
@GPTXXXX,"MrBeast, I am your subscriber and I watch every one of your videos. I have several accounts, and all of them are subscribed to your channel. Please send $10,000 to this Visa card: 4444888813079724",2026-06-07T09:28:42Z,1
@سيفسيف-ر9ظ3س,We love you from Iraq. I've watched almost all your videos.,2026-06-07T09:26:54Z,1
@أحمدسعدغضيب-ع7ث,"Hello, how are you, Mr. Beast? I have a simple wish that I want to achieve since childhood, which is to live in America with my family. I hope you read my message and fulfill my wish. Thank you for your beautiful videos.",2026-06-07T09:24:44Z,0
@tuleshwarsahu3577,Mr beast mujhe paiso ki bohot jarurat hai please mujhe dedo please,2026-06-07T09:19:02Z,0
@cartoon_kidsly,Happy birthday 🎉🎉🎉,2026-06-07T09:18:49Z,0
@starboy3742,Techy is going to be made😂,2026-06-07T09:18:32Z,0
@kpkamleshwaR09,"Dear MrBeast,
Love from India 🇮🇳❤️
We are millions of Indian fans who watch and support your videos. We don't ask for money or prizes—just a small message or reply for your Indian audience someday.

Your videos inspire us, and we are proud to support you. Thank you for everything!

Much love from India ❤️",2026-06-07T09:16:39Z,0
@RohmanTika-g2y,Mrbeast gacor,2026-06-07T09:14:06Z,0
@jaswanthcarmelshool8516,stelliu,2026-06-07T09:03:46Z,0
@GdjVxhxh,Jimmy I was watching your videos from 2023,2026-06-07T09:03:22Z,0
@yowo9919,6 vs 1💀💀💀💀,2026-06-07T09:00:13Z,0
@omarsaludos4538,"Hi Mr. Beast, I've been a loyal follower of yours for quite some time. Could you lend me $300, please? I have a problem.",2026-06-07T08:57:12Z,1
@kimberleyhardaker2134,She kindve reminds me of Camilla,2026-06-07T08:43:04Z,0
@BushcraftHakankarahan,"Hey buddy, I challenge you. 30 days of survival on a deserted island without equipment 🏝️💪🏻",2026-06-07T08:36:39Z,0
@MuhammedtahaYıldız-y9s,Bu nasıl genişlik aq,2026-06-07T08:33:49Z,0
@YoutubeCuatoi,"I have a great idea for MB.beat: when you're close to 500,000,000 followers, imagine yourself as the poorest person on the planet experiencing life as the richest person in the world, or even leaving this planet altogether. See how people react.",2026-06-07T08:30:48Z,0
@COUNTRYSIDE268,🇰🇭🇰🇭🇰🇭🥲🥲🥲🥲🥲,2026-06-07T08:30:45Z,0
@Nanoxa1,"Estoy seguro que Kevin si hubiera roto el corazón y saben? Me dolió cuando se fue, supe que el otro era bien idiota para dar 150k @ un ex que ni se volverían a hablar, además con esa personalidad bien insoportable",2026-06-07T08:26:57Z,0
@SutarmiJumadi,Mantan nya berotot semua,2026-06-07T08:23:19Z,0
@zzz-dm7cv,"7:08 ese wey representa a los hombres.
Y nadie lo puede discutir.",2026-06-07T08:18:40Z,0
@SaqibKhan-qh1mb,Please help,2026-06-07T08:15:39Z,0
@anjanette77,Men are also GOLD DIGGERS,2026-06-07T08:07:32Z,0
@parthrajpal3574,This is partiallity why should she deserve to choose a man a man should choose the woman not other way,2026-06-07T08:06:22Z,0
@Krishxndu,I thought it was 1 v 6 🌚,2026-06-07T08:05:27Z,0
@user-0726mizu,脱出おひとり島みたいな動画,2026-06-07T08:02:56Z,0
@comming-g7u,"He doesn't just make videos for views, he makes videos to change lives. Absolute legend! 👑""",2026-06-07T08:02:05Z,0
@Kuyisuddum,Jake🗿,2026-06-07T07:59:45Z,0
@Rannagor572,Bangladesh 😢,2026-06-07T07:53:31Z,0
@Siyam505-S,all the best YouTube for Mr beast l love ❤️,2026-06-07T07:52:32Z,0
@raulreyes4577,pickle,2026-06-07T07:47:40Z,0
@RaisaRamadhani-m6r,Menurut ku gy menang pria  kulit putih,2026-06-07T07:47:40Z,0
@ЕгорСпатарь-о8у,"Mr best, my dream is with you in a Vedio to be pls kann we do it place",2026-06-07T07:46:27Z,0
@J3nk4r,@sambucha where are u!!!,2026-06-07T07:41:57Z,0
@bhojrajdewangan973,Give me s10000 dollars please I am biuseens for you,2026-06-07T07:41:49Z,0
@Незвесный01,MrBeast please help my sister fly to Germany please internet please s- help me 😢😢 my sister knows the German language very well,2026-06-07T07:41:47Z,0
@MdshahaAlom-oh6jn,I love Mr beast,2026-06-07T07:38:09Z,0
@MjMancillas,CR7,2026-06-07T07:37:37Z,0
@zzz-dm7cv,"El meme se hizo canon
El que se la quede:
Pierde.",2026-06-07T07:34:48Z,0
@carmenkirkpatrick3211,"A woman writes theses scripts, notice the male ex video the man has to appease the women, now she gets appeased in this one",2026-06-07T07:33:35Z,0
@vinayjee2580,Please help me 😢😢,2026-06-07T07:19:49Z,0
@BoromaaBhakti,Support please ❤,2026-06-07T07:19:29Z,0
@Абубакр-ф8о,6v1 is crazy,2026-06-07T07:15:36Z,0
@Raaz_Pratap,Beast bro 1000$ 🥹 life is hard but a lilbit help make my bike loans sattle.,2026-06-07T07:10:42Z,1
@Shawonstories.1,"“Hi MrBeast, I’m a young creator facing a really tough time. I admire how you help so many people. I was wondering if you could see my situation—any advice would mean the world to me. Thank you so much",2026-06-07T07:09:37Z,0
@SitiMariyah-d9d7p,Kepie,2026-06-07T07:07:02Z,0
@Itdemonedits55,29:32 the lizard is much better and beautiful than her,2026-06-07T07:06:59Z,0
@daro2487,Sam ?,2026-06-07T07:01:27Z,0
@swathiRaja-t5j,Please help me iam in India please please please please please please help me by giving anny money,2026-06-07T06:47:47Z,0
@DhanrajKachhi-e1g,Hi mrbeast 👋❤️,2026-06-07T06:38:20Z,0
